run_id,sequence,simulation_time_s,monotonic_time_ns,telemetry_fresh,base_x_m,base_y_m,base_z_m,roll_rad,pitch_rad,yaw_rad,policy_state,ra_value,ra_entry_threshold,ra_exit_threshold,command_vx_mps,command_vy_mps,command_wz_rps,actual_vx_mps,actual_vy_mps,actual_wz_rps,recovery_vx_mps,recovery_vy_mps,recovery_wz_rps,recovery_constraint_margin,ray_valid,ray_age_ns,controller_active,rl_active,collision_available,collision,fall,arrival_candidate,ray_log2_00,ray_log2_01,ray_log2_02,ray_log2_03,ray_log2_04,ray_log2_05,ray_log2_06,ray_log2_07,ray_log2_08,ray_log2_09,ray_log2_10,action_raw_00,action_raw_01,action_raw_02,action_raw_03,action_raw_04,action_raw_05,action_raw_06,action_raw_07,action_raw_08,action_raw_09,action_raw_10,action_raw_11,action_clipped_00,action_clipped_01,action_clipped_02,action_clipped_03,action_clipped_04,action_clipped_05,action_clipped_06,action_clipped_07,action_clipped_08,action_clipped_09,action_clipped_10,action_clipped_11,joint_target_rad_00,joint_target_rad_01,joint_target_rad_02,joint_target_rad_03,joint_target_rad_04,joint_target_rad_05,joint_target_rad_06,joint_target_rad_07,joint_target_rad_08,joint_target_rad_09,joint_target_rad_10,joint_target_rad_11,torque_nm_00,torque_nm_01,torque_nm_02,torque_nm_03,torque_nm_04,torque_nm_05,torque_nm_06,torque_nm_07,torque_nm_08,torque_nm_09,torque_nm_10,torque_nm_11,torque_saturated_00,torque_saturated_01,torque_saturated_02,torque_saturated_03,torque_saturated_04,torque_saturated_05,torque_saturated_06,torque_saturated_07,torque_saturated_08,torque_saturated_09,torque_saturated_10,torque_saturated_11
run-0cbf4a31137e48c79a1f61b4bb639a3e,10,,15818939611838,true,-0.03488321974873543,1.4204162653186359e-05,,,,-3.9381069655064493e-05,0,-0.7371497750282288,-0.05,-0.05,4.994472026824951,0.00019975460600107908,9.998784662457183e-05,0.012784472666680813,-0.0005095742526464164,,,,,,true,424718,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,0.08049864321947098,0.8314233422279358,-0.7060971856117249,-0.35162782669067383,1.0666483640670776,0.008207641541957855,-0.27659356594085693,1.7725770473480225,0.0036587268114089966,-0.11389975249767303,2.5054728984832764,0.2711505889892578,-0.35162782669067383,1.0666483640670776,0.008207641541957855,0.08049864321947098,0.8314233422279358,-0.7060971856117249,-0.11389975249767303,2.5054728984832764,0.2711505889892578,-0.27659356594085693,1.7725770473480225,0.0036587268114089966,-0.08790695667266846,1.066662073135376,-1.4979480504989624,0.020124660804867744,1.0078558921813965,-1.67652428150177,-0.02847493812441826,1.426368236541748,-1.4322123527526855,-0.06914839148521423,1.2431442737579346,-1.4990853071212769,-1.732576847076416,4.257232666015625,11.940291404724121,-0.25742465257644653,2.5011396408081055,6.60077428817749,-1.6165369749069214,15.473203659057617,11.699234962463379,-1.3076881170272827,10.009122848510742,9.68066692352295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run-0cbf4a31137e48c79a1f61b4bb639a3e,14,,15818980406209,true,-0.03538203611969948,1.166796573670581e-05,,,,0.0012350777396932244,0,-0.7315554022789001,-0.05,-0.05,4.994468688964844,-0.006157747935503721,-0.003082273993641138,0.036467649042606354,-0.0003294794005341828,,,,,,true,1438708,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,-0.00018968433141708374,0.9063134789466858,-0.9738471508026123,-0.19574251770973206,1.3349336385726929,-0.2363024353981018,-0.21761322021484375,1.9214966297149658,-0.3311258554458618,-0.004011046141386032,2.598952054977417,-0.0016105622053146362,-0.19574251770973206,1.3349336385726929,-0.2363024353981018,-0.00018968433141708374,0.9063134789466858,-0.9738471508026123,-0.004011046141386032,2.598952054977417,-0.0016105622053146362,-0.21761322021484375,1.9214966297149658,-0.3311258554458618,-0.048935629427433014,1.1337333917617798,-1.5590755939483643,-4.7421082854270935e-05,1.026578426361084,-1.7434618473052979,-0.001002761535346508,1.4497380256652832,-1.5004026889801025,-0.05440330505371094,1.2803741693496704,-1.582781434059143,-0.06307986378669739,2.972813844680786,17.18036651611328,-1.0619118213653564,-0.09595692157745361,11.64791488647461,-0.7523829340934753,12.970929145812988,16.02096176147461,-0.8631795644760132,8.117167472839355,13.48386001586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run-0cbf4a31137e48c79a1f61b4bb639a3e,20,,15819038879467,true,-0.03647717833518982,0.00014836173795629293,,,,0.006129360292106867,0,-0.7259775400161743,-0.05,-0.05,4.994378566741943,-0.031019190326333046,-0.015525804832577705,0.06931564956903458,-0.0011549536138772964,,,,,,true,290270,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,-0.12066496163606644,1.0061492919921875,-1.2171658277511597,-0.14387670159339905,1.6574724912643433,-0.6279813647270203,-0.14311575889587402,2.0237553119659424,-0.61447674036026,0.08035793900489807,2.689997911453247,-0.24916872382164001,-0.14387670159339905,1.6574724912643433,-0.6279813647270203,-0.12066496163606644,1.0061492919921875,-1.2171658277511597,0.08035793900489807,2.689997911453247,-0.24916872382164001,-0.14311575889587402,2.0237553119659424,-0.61447674036026,-0.03596917539834976,1.2143681049346924,-1.6569952964782715,-0.03016624040901661,1.051537275314331,-1.8042914867401123,0.020089484751224518,1.4724994897842407,-1.562292218208313,-0.035778939723968506,1.3059388399124146,-1.6536191701889038,1.8252050876617432,0.13103711605072021,24.732460021972656,-2.647310733795166,-4.06879997253418,20.71430778503418,-0.022325485944747925,8.006186485290527,24.323026657104492,-0.3493441939353943,3.7976584434509277,21.415742874145508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run-0cbf4a31137e48c79a1f61b4bb639a3e,24,,15819082713956,true,-0.03767138347029686,0.0003869131614919752,,,,0.011986755765974522,0,-0.7240049839019775,-0.05,-0.05,4.994112491607666,-0.061000678688287735,-0.030526811257004738,0.0880984365940094,-0.001495258416980505,,,,,,true,177728,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,-0.32676777243614197,1.2101503610610962,-1.2039225101470947,-0.10466735810041428,1.795357584953308,-0.8962892889976501,-0.08294235169887543,2.0765252113342285,-0.6586008667945862,0.0973089188337326,2.673582077026367,-0.3287164568901062,-0.10466735810041428,1.795357584953308,-0.8962892889976501,-0.32676777243614197,1.2101503610610962,-1.2039225101470947,0.0973089188337326,2.673582077026367,-0.3287164568901062,-0.08294235169887543,2.0765252113342285,-0.6586008667945862,-0.02616683952510357,1.2488393783569336,-1.7240723371505737,-0.08169194310903549,1.1025376319885254,-1.800980567932129,0.02432722970843315,1.468395471572876,-1.582179069519043,-0.020735587924718857,1.3191313743591309,-1.6646502017974854,4.62523889541626,-2.4730021953582764,30.54294204711914,-5.762816905975342,-4.925692558288574,28.996204376220703,0.2120000720024109,3.712825059890747,30.99541473388672,-0.19978554546833038,0.7992808818817139,28.226215362548828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run-0cbf4a31137e48c79a1f61b4bb639a3e,30,,15819145403171,true,-0.0634411945939064,0.0003299288509879261,,,,0.015749938786029816,0,-0.7350149750709534,-0.05,-0.05,4.993866920471191,-0.07961958646774292,-0.03983759507536888,-0.3955068290233612,-0.0023933325428515673,,,,,,true,647904,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,-0.10615918785333633,2.126502275466919,-2.709353446960449,0.20585522055625916,2.5675909519195557,-3.626572608947754,-0.07990600168704987,2.029404878616333,-0.10215066373348236,0.01881471648812294,3.112950563430786,-0.5954626202583313,0.20585522055625916,2.5675909519195557,-3.626572608947754,-0.10615918785333633,2.126502275466919,-2.709353446960449,0.01881471648812294,3.112950563430786,-0.5954626202583313,-0.07990600168704987,2.029404878616333,-0.10215066373348236,0.05146380513906479,1.4418977499008179,-2.4066431522369385,-0.026539796963334084,1.3316255807876587,-2.1773383617401123,0.004703679122030735,1.5782376527786255,-1.6488656997680664,-0.019976500421762466,1.3073512315750122,-1.5255376100540161,5.520610809326172,4.116420269012451,9.313326835632324,-3.1851468086242676,3.9131240844726562,16.62142562866211,8.372079849243164,1.5082919597625732,34.60933303833008,-9.003036499023438,-2.7795228958129883,38.088321685791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run-0cbf4a31137e48c79a1f61b4bb639a3e,34,,15819180714015,true,-0.07519616931676865,-0.0009799398249015212,,,,0.015128940343856812,0,-0.7498268485069275,-0.05,-0.05,4.993933200836182,-0.07252311706542969,-0.03628966957330704,-0.23317338526248932,-0.05483566224575043,,,,,,true,242842,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,-0.2542319595813751,1.828317642211914,-2.663208246231079,0.17851918935775757,2.3408992290496826,-2.9878170490264893,0.013487666845321655,2.1327390670776367,-0.19975797832012177,0.12340542674064636,3.154595136642456,-0.47691500186920166,0.17851918935775757,2.3408992290496826,-2.9878170490264893,-0.2542319595813751,1.828317642211914,-2.663208246231079,0.12340542674064636,3.154595136642456,-0.47691500186920166,0.013487666845321655,2.1327390670776367,-0.19975797832012177,0.04462979733943939,1.3852248191833496,-2.2469542026519775,-0.06355798989534378,1.2570793628692627,-2.165802001953125,0.03085135668516159,1.588648796081543,-1.619228720664978,0.003371916711330414,1.3331847190856934,-1.549939513206482,5.040894031524658,2.875454902648926,14.708169937133789,-5.799755573272705,0.310988187789917,16.375635147094727,17.996849060058594,2.592637300491333,32.521236419677734,-15.500835418701172,1.3749336004257202,34.862815856933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run-0cbf4a31137e48c79a1f61b4bb639a3e,40,,15819239170362,true,-0.07861802726984024,-0.0007905064267106354,,,,0.013657903298735619,0,-0.7547065615653992,-0.05,-0.05,4.9940385818481445,-0.06575468182563782,-0.03290470317006111,0.008837725035846233,0.013638559728860855,,,,,,true,452742,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,-0.22885307669639587,1.3829354047775269,-2.033062219619751,-0.04752460867166519,1.994162917137146,-1.993933916091919,0.037201762199401855,2.2425265312194824,-0.42539751529693604,0.08852741122245789,3.1728386878967285,-0.2753300666809082,-0.04752460867166519,1.994162917137146,-1.993933916091919,-0.22885307669639587,1.3829354047775269,-2.033062219619751,0.08852741122245789,3.1728386878967285,-0.2753300666809082,0.037201762199401855,2.2425265312194824,-0.42539751529693604,-0.011881152167916298,1.298540711402893,-1.998483419418335,-0.05721326917409897,1.1457338333129883,-2.008265495300293,0.02213185280561447,1.5932097434997559,-1.568832516670227,0.009300440549850464,1.3606317043304443,-1.6063493490219116,3.492558240890503,0.8569003939628601,21.789901733398438,-5.729561805725098,-2.2989940643310547,21.431211471557617,15.933237075805664,3.343626022338867,33.8517951965332,-15.06845474243164,3.083685874938965,32.54319763183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run-0cbf4a31137e48c79a1f61b4bb639a3e,46,,15819298558418,true,-0.0783115029335022,-0.0005570551147684455,,,,0.01925671473145485,0,-0.7580333948135376,-0.05,-0.05,4.9935784339904785,-0.09442625194787979,-0.04723867401480675,0.027660062536597252,-0.00810011476278305,,,,,,true,745777,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,-0.24242031574249268,1.4187629222869873,-1.8862826824188232,-0.12140750139951706,1.9943478107452393,-1.8054254055023193,0.006068870425224304,2.2229201793670654,-0.44642913341522217,0.12111502885818481,3.0856330394744873,-0.2184322476387024,-0.12140750139951706,1.9943478107452393,-1.8054254055023193,-0.24242031574249268,1.4187629222869873,-1.8862826824188232,0.12111502885818481,3.0856330394744873,-0.2184322476387024,0.006068870425224304,2.2229201793670654,-0.44642913341522217,-0.030351875349879265,1.2985869646072388,-1.9513564109802246,-0.06060507893562317,1.1546907424926758,-1.9715707302093506,0.030278757214546204,1.5714082717895508,-1.5546081066131592,0.001517217606306076,1.3557300567626953,-1.611607313156128,3.3306169509887695,1.694197654724121,22.44388771057129,-5.643324851989746,-0.8065149188041687,22.121686935424805,14.427268028259277,3.404517412185669,33.116146087646484,-14.241930961608887,4.257997989654541,30.915462493896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run-0cbf4a31137e48c79a1f61b4bb639a3e,50,,15819339720017,true,-0.07747963815927505,-0.0008901268010959029,,,,0.02530839294195175,0,-0.7599203586578369,-0.05,-0.05,4.992910861968994,-0.12362838536500931,-0.06182307377457619,0.04587116464972496,-0.009309607557952404,,,,,,true,696247,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,-0.25445812940597534,1.464255452156067,-1.7514653205871582,-0.17047521471977234,2.000119686126709,-1.6579461097717285,-0.02301032841205597,2.186885356903076,-0.4507858157157898,0.14913515746593475,2.9958863258361816,-0.15189403295516968,-0.17047521471977234,2.000119686126709,-1.6579461097717285,-0.25445812940597534,1.464255452156067,-1.7514653205871582,0.14913515746593475,2.9958863258361816,-0.15189403295516968,-0.02301032841205597,2.186885356903076,-0.4507858157157898,-0.042618803679943085,1.300029993057251,-1.9144865274429321,-0.06361453235149384,1.166063904762268,-1.9378663301467896,0.03728378936648369,1.5489716529846191,-1.5379735231399536,-0.005752582103013992,1.3467214107513428,-1.6126964092254639,3.621645927429199,2.5946474075317383,22.754230499267578,-5.334384441375732,0.955863893032074,22.645973205566406,13.187326431274414,3.7805016040802,31.984867095947266,-13.089825630187988,5.48339319229126,28.99003791809082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run-0cbf4a31137e48c79a1f61b4bb639a3e,56,,15819399325392,true,-0.074046790599823,-0.0009004880557768047,,,,0.0370602048933506,0,-0.7647708654403687,-0.05,-0.05,4.991084575653076,-0.1822630912065506,-0.09104195982217789,0.09139398485422134,0.005960364826023579,,,,,,true,943064,true,true,false,,,,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,2.5849626064300537,-0.21252575516700745,1.4808934926986694,-1.63938570022583,-0.23204776644706726,1.9175184965133667,-1.5121064186096191,-0.05762450397014618,2.139221429824829,-0.40859347581863403,0.18049494922161102,2.8914449214935303,-0.05746707320213318,-0.23204776644706726,1.9175184965133667,-1.5121064186096191,-0.21252575516700745,1.4808934926986694,-1.63938570022583,0.18049494922161102,2.8914449214935303,-0.05746707320213318,-0.05762450397014618,2.139221429824829,-0.40859347581863403,-0.058011941611766815,1.2793796062469482,-1.8780266046524048,-0.05313143879175186,1.170223355293274,-1.9098464250564575,0.045123737305402756,1.5228612422943115,-1.5143667459487915,-0.014406125992536545,1.3348053693771362,-1.602148413658142,3.8351383209228516,2.9202191829681396,21.431018829345703,-4.361679553985596,2.6471168994903564,21.761201858520508,11.325617790222168,4.642369270324707,28.859596252441406,-11.502466201782227,7.021452903747559,25.578136444091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
